"filename", "language", "C#", "C++", "C", "Python", "XML", "HTML", "CSS", "Java", "JavaScript", "Draw.io", "JSON", "Objective-C", "Markdown", "Batch", "comment", "blank", "total"
"c:\Users\F_CIL\ProjectFC\CodeForVSC\1.两数之和.cpp", "C++", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 28
"c:\Users\F_CIL\ProjectFC\CodeForVSC\1.两数之和.cs", "C#", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 15
"c:\Users\F_CIL\ProjectFC\CodeForVSC\10.正则表达式匹配.cs", "C#", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 37
"c:\Users\F_CIL\ProjectFC\CodeForVSC\1035.不相交的线.cs", "C#", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 37
"c:\Users\F_CIL\ProjectFC\CodeForVSC\1041.困于环中的机器人.cpp", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 16
"c:\Users\F_CIL\ProjectFC\CodeForVSC\1074.元素和为目标值的子矩阵数量.cs", "C#", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 38
"c:\Users\F_CIL\ProjectFC\CodeForVSC\1190.反转每对括号间的子串.cs", "C#", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 8, 41
"c:\Users\F_CIL\ProjectFC\CodeForVSC\12.整数转罗马数字.cs", "C#", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 78
"c:\Users\F_CIL\ProjectFC\CodeForVSC\1239.串联字符串的最大长度.cs", "C#", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 49
"c:\Users\F_CIL\ProjectFC\CodeForVSC\124.二叉树中的最大路径和.cs", "C#", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 8, 65
"c:\Users\F_CIL\ProjectFC\CodeForVSC\1269.停在原地的方案数.cs", "C#", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 39
"c:\Users\F_CIL\ProjectFC\CodeForVSC\13.罗马数字转整数.cs", "C#", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 46
"c:\Users\F_CIL\ProjectFC\CodeForVSC\1310.子数组异或查询.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 34
"c:\Users\F_CIL\ProjectFC\CodeForVSC\141.环形链表.cs", "C#", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 8, 62
"c:\Users\F_CIL\ProjectFC\CodeForVSC\1442.形成两个异或相等数组的三元组数目.cs", "C#", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 37
"c:\Users\F_CIL\ProjectFC\CodeForVSC\1449.数位成本和为目标值的最大数字.cs", "C#", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 35
"c:\Users\F_CIL\ProjectFC\CodeForVSC\146.lru-缓存.cs", "C#", 245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 39, 362
"c:\Users\F_CIL\ProjectFC\CodeForVSC\1482.制作-m-束花所需的最少天数.cs", "C#", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 55
"c:\Users\F_CIL\ProjectFC\CodeForVSC\1486.数组异或操作.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 21
"c:\Users\F_CIL\ProjectFC\CodeForVSC\149.直线上最多的点数.cs", "C#", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 12, 80
"c:\Users\F_CIL\ProjectFC\CodeForVSC\151.翻转字符串里的单词.cs", "C#", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 27
"c:\Users\F_CIL\ProjectFC\CodeForVSC\160.相交链表.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 9, 44
"c:\Users\F_CIL\ProjectFC\CodeForVSC\1723.完成所有工作的最短时间.cs", "C#", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 21, 107
"c:\Users\F_CIL\ProjectFC\CodeForVSC\1734.解码异或后的排列.cs", "C#", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 29
"c:\Users\F_CIL\ProjectFC\CodeForVSC\1738.找出第-k-大的异或坐标值.cs", "C#", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 11, 57
