On the 1826 day, do nothing.
On the 1825 day, do nothing.
On the 1824 day, do nothing.
On the 1823 day, earn 33702552905.961678$ by saleing 652848.472174 bits brought from 1816 day.
On the 1816 day, do nothing.
On the 1815 day, do nothing.
On the 1814 day, do nothing.
On the 1813 day, earn 31347365483.077789$ by saleing 652040.949098 bits brought from 1812 day.
On the 1812 day, do nothing.
On the 1811 day, do nothing.
On the 1810 day, do nothing.
On the 1809 day, earn 31234102057.973820$ by saleing 643563.817424 bits brought from 1803 day.
On the 1803 day, do nothing.
On the 1802 day, do nothing.
On the 1801 day, do nothing.
On the 1800 day, do nothing.
On the 1799 day, earn 29308907927.829002$ by saleing 625225.757954 bits brought from 1798 day.
On the 1798 day, earn 28326575725.059746$ by saleing 16130283.142648 gold brought from 1795 day.
On the 1795 day, earn 28076104688.420715$ by saleing 618323.381932 bits brought from 1789 day.
On the 1789 day, do nothing.
On the 1788 day, do nothing.
On the 1787 day, do nothing.
On the 1786 day, do nothing.
On the 1785 day, earn 24053249482.933052$ by saleing 581418.862028 bits brought from 1775 day.
On the 1775 day, do nothing.
On the 1774 day, do nothing.
On the 1773 day, do nothing.
On the 1772 day, do nothing.
On the 1771 day, do nothing.
On the 1770 day, earn 17666995867.272285$ by saleing 9782081.001470 gold brought from 1754 day.
On the 1754 day, earn 17419748878.919624$ by saleing 495854.795652 bits brought from 1750 day.
On the 1750 day, do nothing.
On the 1749 day, earn 16002926112.241142$ by saleing 471414.529151 bits brought from 1746 day.
On the 1746 day, do nothing.
On the 1745 day, do nothing.
On the 1744 day, do nothing.
On the 1743 day, do nothing.
On the 1742 day, do nothing.
On the 1741 day, do nothing.
On the 1740 day, do nothing.
On the 1739 day, earn 15236226007.491987$ by saleing 383636.335258 bits brought from 1737 day.
On the 1737 day, do nothing.
On the 1736 day, do nothing.
On the 1735 day, do nothing.
On the 1734 day, earn 13889476023.477356$ by saleing 379580.665423 bits brought from 1733 day.
On the 1733 day, do nothing.
On the 1732 day, do nothing.
On the 1731 day, do nothing.
On the 1730 day, do nothing.
On the 1729 day, do nothing.
On the 1728 day, earn 12950990158.026640$ by saleing 337222.969936 bits brought from 1723 day.
On the 1723 day, do nothing.
On the 1722 day, do nothing.
On the 1721 day, do nothing.
On the 1720 day, earn 11917680301.347132$ by saleing 309705.553575 bits brought from 1717 day.
On the 1717 day, do nothing.
On the 1716 day, do nothing.
On the 1715 day, do nothing.
On the 1714 day, earn 10978934894.961115$ by saleing 274688.907025 bits brought from 1713 day.
On the 1713 day, do nothing.
On the 1712 day, earn 10356756829.260262$ by saleing 5539659.792214 gold brought from 1706 day.
On the 1706 day, do nothing.
On the 1705 day, do nothing.
On the 1704 day, do nothing.
On the 1703 day, do nothing.
On the 1702 day, earn 10193073731.549822$ by saleing 176502.756622 bits brought from 1698 day.
On the 1698 day, do nothing.
On the 1697 day, do nothing.
On the 1696 day, do nothing.
On the 1695 day, earn 9585252953.597500$ by saleing 169051.036785 bits brought from 1689 day.
On the 1689 day, do nothing.
On the 1688 day, do nothing.
On the 1687 day, do nothing.
On the 1686 day, do nothing.
On the 1685 day, do nothing.
On the 1684 day, earn 8462206682.085047$ by saleing 4753466.531675 gold brought from 1677 day.
On the 1677 day, earn 8332377627.438680$ by saleing 133781.864835 bits brought from 1671 day.
On the 1671 day, earn 7634428808.993203$ by saleing 4392790.801201 gold brought from 1663 day.
On the 1663 day, earn 7502713173.214593$ by saleing 130356.150740 bits brought from 1658 day.
On the 1658 day, do nothing.
On the 1657 day, do nothing.
On the 1656 day, do nothing.
On the 1655 day, do nothing.
On the 1654 day, do nothing.
On the 1653 day, do nothing.
On the 1652 day, do nothing.
On the 1651 day, do nothing.
On the 1650 day, earn 6836426387.059286$ by saleing 118410.966899 bits brought from 1648 day.
On the 1648 day, do nothing.
On the 1647 day, do nothing.
On the 1646 day, earn 6734007294.883908$ by saleing 112170.777623 bits brought from 1637 day.
On the 1637 day, do nothing.
On the 1636 day, earn 5543241803.749510$ by saleing 112056.793148 bits brought from 1633 day.
On the 1633 day, do nothing.
On the 1632 day, do nothing.
On the 1631 day, do nothing.
On the 1630 day, do nothing.
On the 1629 day, do nothing.
On the 1628 day, do nothing.
On the 1627 day, do nothing.
On the 1626 day, earn 5156425339.619126$ by saleing 91526.364849 bits brought from 1601 day.
On the 1601 day, do nothing.
On the 1600 day, do nothing.
On the 1599 day, do nothing.
On the 1598 day, do nothing.
On the 1597 day, do nothing.
On the 1596 day, earn 2839841973.573800$ by saleing 87805.672685 bits brought from 1595 day.
On the 1595 day, do nothing.
On the 1594 day, do nothing.
On the 1593 day, do nothing.
On the 1592 day, do nothing.
On the 1591 day, do nothing.
On the 1590 day, do nothing.
On the 1589 day, do nothing.
On the 1588 day, earn 2758314933.319850$ by saleing 71877.295474 bits brought from 1586 day.
On the 1586 day, do nothing.
On the 1585 day, do nothing.
On the 1584 day, do nothing.
On the 1583 day, do nothing.
On the 1582 day, earn 2493569722.164470$ by saleing 62563.225658 bits brought from 1564 day.
On the 1564 day, do nothing.
On the 1563 day, do nothing.
On the 1562 day, earn 1451492486.194871$ by saleing 62049.475776 bits brought from 1554 day.
On the 1554 day, do nothing.
On the 1553 day, do nothing.
On the 1552 day, do nothing.
On the 1551 day, do nothing.
On the 1550 day, earn 1141089114.931521$ by saleing 616982.184304 gold brought from 1543 day.
On the 1543 day, earn 1128372495.130831$ by saleing 58417.961980 bits brought from 1540 day.
On the 1540 day, do nothing.
On the 1539 day, do nothing.
On the 1538 day, do nothing.
On the 1537 day, earn 1021244000.749126$ by saleing 54353.147219 bits brought from 1520 day.
On the 1520 day, do nothing.
On the 1519 day, earn 822721630.777672$ by saleing 53829.355861 bits brought from 1475 day.
On the 1475 day, do nothing.
On the 1474 day, do nothing.
On the 1473 day, do nothing.
On the 1472 day, do nothing.
On the 1471 day, earn 561934873.412934$ by saleing 51744.629023 bits brought from 1460 day.
On the 1460 day, do nothing.
On the 1459 day, do nothing.
On the 1458 day, do nothing.
On the 1457 day, do nothing.
On the 1456 day, do nothing.
On the 1455 day, do nothing.
On the 1454 day, do nothing.
On the 1453 day, earn 534207927.908062$ by saleing 45718.442240 bits brought from 1448 day.
On the 1448 day, earn 527044030.882791$ by saleing 271983.910881 gold brought from 1445 day.
On the 1445 day, do nothing.
On the 1444 day, do nothing.
On the 1443 day, do nothing.
On the 1442 day, do nothing.
On the 1441 day, do nothing.
On the 1440 day, do nothing.
On the 1439 day, do nothing.
On the 1438 day, earn 525000071.792522$ by saleing 43576.332509 bits brought from 1432 day.
On the 1432 day, do nothing.
On the 1431 day, earn 506367790.690778$ by saleing 43445.878015 bits brought from 1425 day.
On the 1425 day, earn 496068684.631992$ by saleing 244649.795877 gold brought from 1423 day.
On the 1423 day, do nothing.
On the 1422 day, earn 483950446.292798$ by saleing 41765.858912 bits brought from 1410 day.
On the 1410 day, earn 390391639.534308$ by saleing 214015.896138 gold brought from 1364 day.
On the 1364 day, do nothing.
On the 1363 day, do nothing.
On the 1362 day, do nothing.
On the 1361 day, earn 363887910.956611$ by saleing 36388.368991 bits brought from 1353 day.
On the 1353 day, do nothing.
On the 1352 day, do nothing.
On the 1351 day, do nothing.
On the 1350 day, do nothing.
On the 1349 day, do nothing.
On the 1348 day, earn 324050965.293076$ by saleing 33790.418537 bits brought from 1344 day.
On the 1344 day, do nothing.
On the 1343 day, earn 320659644.001230$ by saleing 33421.180572 bits brought from 1340 day.
On the 1340 day, do nothing.
On the 1339 day, do nothing.
On the 1338 day, do nothing.
On the 1337 day, do nothing.
On the 1336 day, earn 293758641.652213$ by saleing 29967.879627 bits brought from 1319 day.
On the 1319 day, do nothing.
On the 1318 day, do nothing.
On the 1317 day, earn 209087238.720385$ by saleing 29390.238978 bits brought from 1314 day.
On the 1314 day, do nothing.
On the 1313 day, do nothing.
On the 1312 day, earn 198568566.239044$ by saleing 115146.856497 gold brought from 1306 day.
On the 1306 day, do nothing.
On the 1305 day, earn 191636380.037347$ by saleing 26629.715460 bits brought from 1297 day.
On the 1297 day, do nothing.
On the 1296 day, do nothing.
On the 1295 day, do nothing.
On the 1294 day, do nothing.
On the 1293 day, do nothing.
On the 1292 day, earn 159861329.541077$ by saleing 24100.472285 bits brought from 1290 day.
On the 1290 day, do nothing.
On the 1289 day, do nothing.
On the 1288 day, earn 143134449.772931$ by saleing 23457.314451 bits brought from 1284 day.
On the 1284 day, earn 120262765.942660$ by saleing 79076.644549 gold brought from 1283 day.
On the 1283 day, do nothing.
On the 1282 day, do nothing.
On the 1281 day, earn 118818747.336550$ by saleing 21615.790918 bits brought from 1280 day.
On the 1280 day, do nothing.
On the 1279 day, do nothing.
On the 1278 day, do nothing.
On the 1277 day, do nothing.
On the 1276 day, do nothing.
On the 1275 day, do nothing.
On the 1274 day, do nothing.
On the 1273 day, earn 106496985.637614$ by saleing 63892.562448 gold brought from 1269 day.
On the 1269 day, earn 103227794.894846$ by saleing 11818.311666 bits brought from 1268 day.
On the 1268 day, do nothing.
On the 1267 day, do nothing.
On the 1266 day, do nothing.
On the 1265 day, do nothing.
On the 1264 day, do nothing.
On the 1263 day, do nothing.
On the 1262 day, earn 102876670.491575$ by saleing 62163.628020 gold brought from 1251 day.
On the 1251 day, earn 98889930.535779$ by saleing 9745.525278 bits brought from 1233 day.
On the 1233 day, do nothing.
On the 1232 day, do nothing.
On the 1231 day, do nothing.
On the 1230 day, do nothing.
On the 1229 day, do nothing.
On the 1228 day, do nothing.
On the 1227 day, do nothing.
On the 1226 day, earn 82777587.324496$ by saleing 9479.109831 bits brought from 1217 day.
On the 1217 day, do nothing.
On the 1216 day, do nothing.
On the 1215 day, earn 75589060.779932$ by saleing 9446.081447 bits brought from 1210 day.
On the 1210 day, earn 66908640.910659$ by saleing 43638.086049 gold brought from 1199 day.
On the 1199 day, earn 65322767.406511$ by saleing 8870.408337 bits brought from 1194 day.
On the 1194 day, do nothing.
On the 1193 day, do nothing.
On the 1192 day, do nothing.
On the 1191 day, do nothing.
On the 1190 day, do nothing.
On the 1189 day, do nothing.
On the 1188 day, do nothing.
On the 1187 day, do nothing.
On the 1186 day, do nothing.
On the 1185 day, do nothing.
On the 1184 day, do nothing.
On the 1183 day, earn 59825248.458060$ by saleing 8088.596139 bits brought from 1181 day.
On the 1181 day, do nothing.
On the 1180 day, do nothing.
On the 1179 day, do nothing.
On the 1178 day, do nothing.
On the 1177 day, do nothing.
On the 1176 day, earn 59343659.914808$ by saleing 7805.992806 bits brought from 1171 day.
On the 1171 day, do nothing.
On the 1170 day, do nothing.
On the 1169 day, do nothing.
On the 1168 day, do nothing.
On the 1167 day, do nothing.
On the 1166 day, do nothing.
On the 1165 day, do nothing.
On the 1164 day, do nothing.
On the 1163 day, do nothing.
On the 1162 day, do nothing.
On the 1161 day, do nothing.
On the 1160 day, do nothing.
On the 1159 day, do nothing.
On the 1158 day, do nothing.
On the 1157 day, do nothing.
On the 1156 day, do nothing.
On the 1155 day, do nothing.
On the 1154 day, do nothing.
On the 1153 day, do nothing.
On the 1152 day, do nothing.
On the 1151 day, do nothing.
On the 1150 day, do nothing.
On the 1149 day, do nothing.
On the 1148 day, do nothing.
On the 1147 day, do nothing.
On the 1146 day, do nothing.
On the 1145 day, do nothing.
On the 1144 day, do nothing.
On the 1143 day, earn 54997497.004461$ by saleing 5875.481326 bits brought from 1140 day.
On the 1140 day, earn 44539189.598603$ by saleing 29726.175561 gold brought from 1126 day.
On the 1126 day, do nothing.
On the 1125 day, earn 44409167.306699$ by saleing 5276.653351 bits brought from 1122 day.
On the 1122 day, do nothing.
On the 1121 day, do nothing.
On the 1120 day, do nothing.
On the 1119 day, do nothing.
On the 1118 day, earn 42356407.738966$ by saleing 28201.338238 gold brought from 1116 day.
On the 1116 day, do nothing.
On the 1115 day, do nothing.
On the 1114 day, do nothing.
On the 1113 day, do nothing.
On the 1112 day, do nothing.
On the 1111 day, do nothing.
On the 1110 day, earn 41968794.445549$ by saleing 27730.316705 gold brought from 1096 day.
On the 1096 day, do nothing.
On the 1095 day, do nothing.
On the 1094 day, do nothing.
On the 1093 day, do nothing.
On the 1092 day, do nothing.
On the 1091 day, do nothing.
On the 1090 day, do nothing.
On the 1089 day, earn 41749558.561683$ by saleing 4010.958204 bits brought from 1084 day.
On the 1084 day, do nothing.
On the 1083 day, earn 38802976.303617$ by saleing 25447.945435 gold brought from 1076 day.
On the 1076 day, do nothing.
On the 1075 day, do nothing.
On the 1074 day, earn 38606327.305266$ by saleing 3608.420721 bits brought from 1069 day.
On the 1069 day, do nothing.
On the 1068 day, do nothing.
On the 1067 day, do nothing.
On the 1066 day, do nothing.
On the 1065 day, do nothing.
On the 1064 day, do nothing.
On the 1063 day, earn 36868461.368204$ by saleing 3136.014050 bits brought from 1051 day.
On the 1051 day, do nothing.
On the 1050 day, do nothing.
On the 1049 day, do nothing.
On the 1048 day, do nothing.
On the 1047 day, do nothing.
On the 1046 day, do nothing.
On the 1045 day, do nothing.
On the 1044 day, earn 30304777.062720$ by saleing 2872.599086 bits brought from 1040 day.
On the 1040 day, do nothing.
On the 1039 day, earn 27535799.520003$ by saleing 2584.057995 bits brought from 1038 day.
On the 1038 day, do nothing.
On the 1037 day, do nothing.
On the 1036 day, do nothing.
On the 1035 day, do nothing.
On the 1034 day, do nothing.
On the 1033 day, earn 26850274.774421$ by saleing 2176.743856 bits brought from 1029 day.
On the 1029 day, do nothing.
On the 1028 day, do nothing.
On the 1027 day, earn 24323597.576219$ by saleing 2070.956339 bits brought from 1025 day.
On the 1025 day, do nothing.
On the 1024 day, do nothing.
On the 1023 day, do nothing.
On the 1022 day, earn 22346186.335442$ by saleing 1842.693864 bits brought from 1021 day.
On the 1021 day, do nothing.
On the 1020 day, earn 20924817.052430$ by saleing 1651.022937 bits brought from 1003 day.
On the 1003 day, do nothing.
On the 1002 day, do nothing.
On the 1001 day, do nothing.
On the 1000 day, earn 12867118.811359$ by saleing 9694.618065 gold brought from 990 day.
On the 990 day, earn 12516556.574831$ by saleing 1456.318030 bits brought from 985 day.
On the 985 day, do nothing.
On the 984 day, do nothing.
On the 983 day, do nothing.
On the 982 day, earn 11327894.944045$ by saleing 1410.727324 bits brought from 981 day.
On the 981 day, do nothing.
On the 980 day, do nothing.
On the 979 day, do nothing.
On the 978 day, earn 10453984.635097$ by saleing 1299.800322 bits brought from 958 day.
On the 958 day, do nothing.
On the 957 day, do nothing.
On the 956 day, earn 6888320.660509$ by saleing 1273.775794 bits brought from 944 day.
On the 944 day, do nothing.
On the 943 day, earn 6541756.328181$ by saleing 1257.068792 bits brought from 906 day.
On the 906 day, do nothing.
On the 905 day, do nothing.
On the 904 day, do nothing.
On the 903 day, do nothing.
On the 902 day, do nothing.
On the 901 day, do nothing.
On the 900 day, do nothing.
On the 899 day, do nothing.
On the 898 day, do nothing.
On the 897 day, earn 4783900.493058$ by saleing 1179.227731 bits brought from 881 day.
On the 881 day, do nothing.
On the 880 day, do nothing.
On the 879 day, do nothing.
On the 878 day, do nothing.
On the 877 day, do nothing.
On the 876 day, do nothing.
On the 875 day, do nothing.
On the 874 day, do nothing.
On the 873 day, earn 4083259.034830$ by saleing 3116.949991 gold brought from 863 day.
On the 863 day, do nothing.
On the 862 day, earn 4028176.294589$ by saleing 1109.720888 bits brought from 856 day.
On the 856 day, do nothing.
On the 855 day, do nothing.
On the 854 day, do nothing.
On the 853 day, do nothing.
On the 852 day, do nothing.
On the 851 day, do nothing.
On the 850 day, do nothing.
On the 849 day, earn 3997879.582686$ by saleing 1010.747769 bits brought from 843 day.
On the 843 day, do nothing.
On the 842 day, do nothing.
On the 841 day, do nothing.
On the 840 day, earn 3868450.500806$ by saleing 1008.973893 bits brought from 839 day.
On the 839 day, do nothing.
On the 838 day, do nothing.
On the 837 day, do nothing.
On the 836 day, do nothing.
On the 835 day, do nothing.
On the 834 day, do nothing.
On the 833 day, do nothing.
On the 832 day, earn 3853057.595100$ by saleing 950.788579 bits brought from 826 day.
On the 826 day, do nothing.
On the 825 day, do nothing.
On the 824 day, do nothing.
On the 823 day, earn 3144513.022069$ by saleing 2549.689568 gold brought from 811 day.
On the 811 day, earn 3135418.279379$ by saleing 747.739749 bits brought from 808 day.
On the 808 day, do nothing.
On the 807 day, do nothing.
On the 806 day, do nothing.
On the 805 day, do nothing.
On the 804 day, do nothing.
On the 803 day, earn 2893167.349944$ by saleing 2381.639919 gold brought from 794 day.
On the 794 day, do nothing.
On the 793 day, do nothing.
On the 792 day, do nothing.
On the 791 day, do nothing.
On the 790 day, do nothing.
On the 789 day, do nothing.
On the 788 day, do nothing.
On the 787 day, do nothing.
On the 786 day, do nothing.
On the 785 day, do nothing.
On the 784 day, do nothing.
On the 783 day, do nothing.
On the 782 day, do nothing.
On the 781 day, do nothing.
On the 780 day, do nothing.
On the 779 day, do nothing.
On the 778 day, do nothing.
On the 777 day, do nothing.
On the 776 day, do nothing.
On the 775 day, do nothing.
On the 774 day, do nothing.
On the 773 day, do nothing.
On the 772 day, do nothing.
On the 771 day, do nothing.
On the 770 day, do nothing.
On the 769 day, do nothing.
On the 768 day, do nothing.
On the 767 day, do nothing.
On the 766 day, earn 2891599.040058$ by saleing 447.118541 bits brought from 763 day.
On the 763 day, do nothing.
On the 762 day, earn 2849012.519185$ by saleing 2359.328078 gold brought from 747 day.
On the 747 day, do nothing.
On the 746 day, do nothing.
On the 745 day, do nothing.
On the 744 day, do nothing.
On the 743 day, do nothing.
On the 742 day, earn 2824714.978971$ by saleing 426.629815 bits brought from 730 day.
On the 730 day, do nothing.
On the 729 day, do nothing.
On the 728 day, do nothing.
On the 727 day, do nothing.
On the 726 day, do nothing.
On the 725 day, do nothing.
On the 724 day, earn 2715839.903529$ by saleing 381.450061 bits brought from 700 day.
On the 700 day, do nothing.
On the 699 day, do nothing.
On the 698 day, do nothing.
On the 697 day, do nothing.
On the 696 day, do nothing.
On the 695 day, do nothing.
On the 694 day, do nothing.
On the 693 day, do nothing.
On the 692 day, do nothing.
On the 691 day, do nothing.
On the 690 day, do nothing.
On the 689 day, do nothing.
On the 688 day, do nothing.
On the 687 day, do nothing.
On the 686 day, do nothing.
On the 685 day, do nothing.
On the 684 day, do nothing.
On the 683 day, earn 2388540.798524$ by saleing 295.386779 bits brought from 672 day.
On the 672 day, do nothing.
On the 671 day, do nothing.
On the 670 day, do nothing.
On the 669 day, do nothing.
On the 668 day, do nothing.
On the 667 day, do nothing.
On the 666 day, earn 1880379.065359$ by saleing 284.110032 bits brought from 657 day.
On the 657 day, do nothing.
On the 656 day, do nothing.
On the 655 day, do nothing.
On the 654 day, do nothing.
On the 653 day, do nothing.
On the 652 day, do nothing.
On the 651 day, do nothing.
On the 650 day, do nothing.
On the 649 day, earn 1712295.365545$ by saleing 258.435750 bits brought from 641 day.
On the 641 day, do nothing.
On the 640 day, do nothing.
On the 639 day, do nothing.
On the 638 day, do nothing.
On the 637 day, do nothing.
On the 636 day, do nothing.
On the 635 day, earn 1664846.716982$ by saleing 221.308419 bits brought from 623 day.
On the 623 day, do nothing.
On the 622 day, do nothing.
On the 621 day, do nothing.
On the 620 day, do nothing.
On the 619 day, do nothing.
On the 618 day, do nothing.
On the 617 day, earn 1657548.762020$ by saleing 198.812128 bits brought from 614 day.
On the 614 day, do nothing.
On the 613 day, do nothing.
On the 612 day, do nothing.
On the 611 day, do nothing.
On the 610 day, do nothing.
On the 609 day, do nothing.
On the 608 day, do nothing.
On the 607 day, do nothing.
On the 606 day, do nothing.
On the 605 day, do nothing.
On the 604 day, do nothing.
On the 603 day, do nothing.
On the 602 day, earn 1643826.868217$ by saleing 171.102858 bits brought from 595 day.
On the 595 day, do nothing.
On the 594 day, do nothing.
On the 593 day, do nothing.
On the 592 day, earn 1558254.427967$ by saleing 164.634234 bits brought from 584 day.
On the 584 day, do nothing.
On the 583 day, earn 1325853.549786$ by saleing 161.674907 bits brought from 576 day.
On the 576 day, do nothing.
On the 575 day, earn 1104765.928223$ by saleing 160.639326 bits brought from 573 day.
On the 573 day, do nothing.
On the 572 day, do nothing.
On the 571 day, earn 1082059.688021$ by saleing 148.676431 bits brought from 566 day.
On the 566 day, do nothing.
On the 565 day, do nothing.
On the 564 day, do nothing.
On the 563 day, do nothing.
On the 562 day, earn 1043735.394224$ by saleing 779.560911 gold brought from 557 day.
On the 557 day, earn 1040373.537796$ by saleing 118.644983 bits brought from 554 day.
On the 554 day, do nothing.
On the 553 day, do nothing.
On the 552 day, do nothing.
On the 551 day, do nothing.
On the 550 day, do nothing.
On the 549 day, do nothing.
On the 548 day, earn 988886.740435$ by saleing 109.886277 bits brought from 546 day.
On the 546 day, do nothing.
On the 545 day, do nothing.
On the 544 day, do nothing.
On the 543 day, do nothing.
On the 542 day, do nothing.
On the 541 day, earn 980286.688739$ by saleing 86.855076 bits brought from 533 day.
On the 533 day, do nothing.
On the 532 day, do nothing.
On the 531 day, do nothing.
On the 530 day, do nothing.
On the 529 day, do nothing.
On the 528 day, earn 859042.022835$ by saleing 76.957218 bits brought from 513 day.
On the 513 day, do nothing.
On the 512 day, do nothing.
On the 511 day, do nothing.
On the 510 day, do nothing.
On the 509 day, do nothing.
On the 508 day, do nothing.
On the 507 day, do nothing.
On the 506 day, do nothing.
On the 505 day, do nothing.
On the 504 day, earn 536822.490864$ by saleing 47.530374 bits brought from 503 day.
On the 503 day, do nothing.
On the 502 day, do nothing.
On the 501 day, do nothing.
On the 500 day, do nothing.
On the 499 day, do nothing.
On the 498 day, do nothing.
On the 497 day, earn 531826.668335$ by saleing 41.903224 bits brought from 494 day.
On the 494 day, do nothing.
On the 493 day, do nothing.
On the 492 day, earn 475150.630282$ by saleing 34.601817 bits brought from 488 day.
On the 488 day, do nothing.
On the 487 day, do nothing.
On the 486 day, do nothing.
On the 485 day, do nothing.
On the 484 day, do nothing.
On the 483 day, earn 469295.310788$ by saleing 27.649820 bits brought from 476 day.
On the 476 day, do nothing.
On the 475 day, do nothing.
On the 474 day, do nothing.
On the 473 day, earn 372717.143191$ by saleing 24.396452 bits brought from 472 day.
On the 472 day, do nothing.
On the 471 day, do nothing.
On the 470 day, do nothing.
On the 469 day, do nothing.
On the 468 day, do nothing.
On the 467 day, do nothing.
On the 466 day, do nothing.
On the 465 day, do nothing.
On the 464 day, do nothing.
On the 463 day, do nothing.
On the 462 day, earn 341933.797131$ by saleing 17.894118 bits brought from 460 day.
On the 460 day, do nothing.
On the 459 day, do nothing.
On the 458 day, earn 296636.984806$ by saleing 17.520479 bits brought from 456 day.
On the 456 day, do nothing.
On the 455 day, do nothing.
On the 454 day, earn 265736.536748$ by saleing 16.082162 bits brought from 428 day.
On the 428 day, do nothing.
On the 427 day, do nothing.
On the 426 day, do nothing.
On the 425 day, do nothing.
On the 424 day, do nothing.
On the 423 day, do nothing.
On the 422 day, do nothing.
On the 421 day, do nothing.
On the 420 day, earn 93769.074006$ by saleing 12.864835 bits brought from 410 day.
On the 410 day, do nothing.
On the 409 day, do nothing.
On the 408 day, do nothing.
On the 407 day, do nothing.
On the 406 day, earn 74397.503184$ by saleing 12.681296 bits brought from 403 day.
On the 403 day, do nothing.
On the 402 day, do nothing.
On the 401 day, do nothing.
On the 400 day, earn 72366.492127$ by saleing 12.674817 bits brought from 377 day.
On the 377 day, do nothing.
On the 376 day, do nothing.
On the 375 day, earn 47026.741188$ by saleing 12.064298 bits brought from 370 day.
On the 370 day, do nothing.
On the 369 day, do nothing.
On the 368 day, do nothing.
On the 367 day, do nothing.
On the 366 day, do nothing.
On the 365 day, do nothing.
On the 364 day, do nothing.
On the 363 day, do nothing.
On the 362 day, earn 39580.050610$ by saleing 8.676854 bits brought from 359 day.
On the 359 day, do nothing.
On the 358 day, do nothing.
On the 357 day, do nothing.
On the 356 day, earn 38446.985323$ by saleing 7.987316 bits brought from 346 day.
On the 346 day, do nothing.
On the 345 day, do nothing.
On the 344 day, do nothing.
On the 343 day, do nothing.
On the 342 day, do nothing.
On the 341 day, earn 32476.470084$ by saleing 7.655653 bits brought from 326 day.
On the 326 day, do nothing.
On the 325 day, do nothing.
On the 324 day, earn 21033.926762$ by saleing 7.487778 bits brought from 318 day.
On the 318 day, do nothing.
